data_classification,invoice_id,invoice_date,period_start,period_end,contract_id,contractor,line_id,line_number,job_id,service_date,service_type,quantity,unit_rate_pence,line_amount_pence,currency,tax_basis
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-001,1,C03-JOB-001,2026-08-01,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-002,2,C03-JOB-002,2026-08-02,standard_meter_maintenance,1,7000,7000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-003,3,C03-JOB-003,2026-08-03,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-004,4,C03-JOB-004,2026-08-04,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-005,5,C03-JOB-005,2026-08-05,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-006,6,C03-JOB-006,2026-08-06,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-007,7,C03-JOB-007,2026-08-07,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-008,8,C03-JOB-008,2026-08-08,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-009,9,C03-JOB-009,2026-08-09,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-010,10,C03-JOB-010,2026-08-10,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-011,11,C03-JOB-011,2026-08-11,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-012,12,C03-JOB-012,2026-08-12,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-013,13,C03-JOB-013,2026-08-13,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-014,14,C03-JOB-014,2026-08-14,standard_meter_maintenance,1,1500,1500,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-015,15,C03-JOB-015,2026-08-15,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-003,2026-09-01,2026-08-01,2026-08-31,CTR-003,Cedar Meter Maintenance,C03-LINE-016,16,C03-JOB-001,2026-08-01,standard_meter_maintenance,1,6000,6000,GBP,exclusive_of_vat
