data_classification,contract_id,contractor,job_id,meter_id,service_date,service_type,status,completion_reference,approval_reference
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-001,C03-MTR-001,2026-08-01,standard_meter_maintenance,completed,C03-COMP-001,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-002,C03-MTR-002,2026-08-02,standard_meter_maintenance,completed,C03-COMP-002,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-003,C03-MTR-003,2026-08-03,standard_meter_maintenance,completed,C03-COMP-003,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-004,C03-MTR-004,2026-08-04,standard_meter_maintenance,completed,C03-COMP-004,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-005,C03-MTR-005,2026-08-05,standard_meter_maintenance,completed,C03-COMP-005,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-006,C03-MTR-006,2026-08-06,standard_meter_maintenance,completed,C03-COMP-006,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-007,C03-MTR-007,2026-08-07,standard_meter_maintenance,completed,C03-COMP-007,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-008,C03-MTR-008,2026-08-08,standard_meter_maintenance,completed,C03-COMP-008,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-009,C03-MTR-009,2026-08-09,standard_meter_maintenance,completed,C03-COMP-009,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-010,C03-MTR-010,2026-08-10,standard_meter_maintenance,completed,C03-COMP-010,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-011,C03-MTR-011,2026-08-11,standard_meter_maintenance,completed,C03-COMP-011,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-012,C03-MTR-012,2026-08-12,standard_meter_maintenance,completed,C03-COMP-012,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-013,C03-MTR-013,2026-08-13,standard_meter_maintenance,cancelled,,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-014,C03-MTR-014,2026-08-14,standard_meter_maintenance,cancelled,,
Synthetic demonstration data,CTR-003,Cedar Meter Maintenance,C03-JOB-015,C03-MTR-015,2026-08-15,standard_meter_maintenance,incomplete,,
