data_classification,contract_id,contractor,job_id,meter_id,service_date,service_type,status,completion_reference,approval_reference
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-001,C05-MTR-001,2026-08-01,meter_diagnostic_visit,completed,C05-COMP-001,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-002,C05-MTR-002,2026-08-02,meter_diagnostic_visit,completed,C05-COMP-002,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-003,C05-MTR-003,2026-08-03,meter_diagnostic_visit,completed,C05-COMP-003,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-004,C05-MTR-004,2026-08-04,meter_diagnostic_visit,completed,C05-COMP-004,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-005,C05-MTR-005,2026-08-05,meter_diagnostic_visit,completed,C05-COMP-005,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-006,C05-MTR-006,2026-08-06,meter_diagnostic_visit,completed,C05-COMP-006,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-007,C05-MTR-007,2026-08-07,meter_diagnostic_visit,completed,C05-COMP-007,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-008,C05-MTR-008,2026-08-08,meter_diagnostic_visit,completed,C05-COMP-008,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-009,C05-MTR-009,2026-08-09,meter_diagnostic_visit,completed,C05-COMP-009,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-010,C05-MTR-010,2026-08-10,meter_diagnostic_visit,completed,C05-COMP-010,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-011,C05-MTR-011,2026-08-11,meter_diagnostic_visit,completed,C05-COMP-011,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-012,C05-MTR-012,2026-08-12,meter_diagnostic_visit,completed,C05-COMP-012,APP-005-012
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-013,C05-MTR-013,2026-08-13,meter_diagnostic_visit,cancelled,,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-014,C05-MTR-014,2026-08-14,meter_diagnostic_visit,cancelled,,
Synthetic demonstration data,CTR-005,Meadow Meter Support,C05-JOB-015,C05-MTR-015,2026-08-15,meter_diagnostic_visit,incomplete,,
