data_classification,invoice_id,invoice_date,period_start,period_end,contract_id,contractor,line_id,line_number,job_id,service_date,service_type,quantity,unit_rate_pence,line_amount_pence,currency,tax_basis
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-001,1,C06-JOB-001,2026-08-01,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-002,2,C06-JOB-002,2026-08-02,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-003,3,C06-JOB-003,2026-08-03,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-004,4,C06-JOB-004,2026-08-04,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-005,5,C06-JOB-005,2026-08-05,specialist_meter_inspection,1,11000,11000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-006,6,C06-JOB-006,2026-08-06,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-007,7,C06-JOB-007,2026-08-07,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-008,8,C06-JOB-008,2026-08-08,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-009,9,C06-JOB-009,2026-08-09,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-010,10,C06-JOB-010,2026-08-10,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-011,11,C06-JOB-011,2026-08-11,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-012,12,C06-JOB-012,2026-08-12,specialist_meter_inspection,1,12000,12000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-013,13,C06-JOB-013,2026-08-13,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-014,14,C06-JOB-014,2026-08-14,specialist_meter_inspection,1,2000,2000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-015,15,C06-JOB-015,2026-08-15,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-006,2026-09-01,2026-08-01,2026-08-31,CTR-006,Summit Meter Engineering,C06-LINE-016,16,C06-JOB-001,2026-08-01,specialist_meter_inspection,1,9000,9000,GBP,exclusive_of_vat
