data_classification,contract_id,contractor,job_id,meter_id,service_date,service_type,status,completion_reference,approval_reference
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-001,C06-MTR-001,2026-08-01,specialist_meter_inspection,completed,C06-COMP-001,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-002,C06-MTR-002,2026-08-02,specialist_meter_inspection,completed,C06-COMP-002,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-003,C06-MTR-003,2026-08-03,specialist_meter_inspection,completed,C06-COMP-003,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-004,C06-MTR-004,2026-08-04,specialist_meter_inspection,completed,C06-COMP-004,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-005,C06-MTR-005,2026-08-05,specialist_meter_inspection,completed,C06-COMP-005,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-006,C06-MTR-006,2026-08-06,specialist_meter_inspection,completed,C06-COMP-006,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-007,C06-MTR-007,2026-08-07,specialist_meter_inspection,completed,C06-COMP-007,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-008,C06-MTR-008,2026-08-08,specialist_meter_inspection,completed,C06-COMP-008,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-009,C06-MTR-009,2026-08-09,specialist_meter_inspection,completed,C06-COMP-009,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-010,C06-MTR-010,2026-08-10,specialist_meter_inspection,completed,C06-COMP-010,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-011,C06-MTR-011,2026-08-11,specialist_meter_inspection,completed,C06-COMP-011,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-012,C06-MTR-012,2026-08-12,specialist_meter_inspection,completed,C06-COMP-012,APP-006-012
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-013,C06-MTR-013,2026-08-13,specialist_meter_inspection,cancelled,,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-014,C06-MTR-014,2026-08-14,specialist_meter_inspection,cancelled,,
Synthetic demonstration data,CTR-006,Summit Meter Engineering,C06-JOB-015,C06-MTR-015,2026-08-15,specialist_meter_inspection,incomplete,,
