data_classification,invoice_id,invoice_date,period_start,period_end,contract_id,line_id,line_number,job_id,service_date,service_type,quantity,unit_rate_pence,line_amount_pence,currency,tax_basis
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-001,1,JOB-001,2026-08-01,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-002,2,JOB-002,2026-08-02,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-003,3,JOB-003,2026-08-03,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-004,4,JOB-004,2026-08-04,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-005,5,JOB-005,2026-08-05,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-006,6,JOB-006,2026-08-06,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-007,7,JOB-007,2026-08-07,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-008,8,JOB-008,2026-08-08,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-009,9,JOB-009,2026-08-09,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-010,10,JOB-010,2026-08-10,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-011,11,JOB-011,2026-08-11,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-012,12,JOB-012,2026-08-12,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-013,13,JOB-013,2026-08-13,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-014,14,JOB-014,2026-08-14,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-015,15,JOB-015,2026-08-15,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-016,16,JOB-016,2026-08-16,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-017,17,JOB-017,2026-08-17,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-018,18,JOB-018,2026-08-18,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-019,19,JOB-019,2026-08-19,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-020,20,JOB-020,2026-08-20,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-021,21,JOB-021,2026-08-21,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-022,22,JOB-022,2026-08-22,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-023,23,JOB-023,2026-08-23,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-024,24,JOB-024,2026-08-24,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-025,25,JOB-025,2026-08-25,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-026,26,JOB-026,2026-08-26,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-027,27,JOB-027,2026-08-27,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-028,28,JOB-028,2026-08-28,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-029,29,JOB-029,2026-08-01,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-030,30,JOB-030,2026-08-02,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-031,31,JOB-031,2026-08-03,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-032,32,JOB-032,2026-08-04,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-033,33,JOB-033,2026-08-05,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-034,34,JOB-034,2026-08-06,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-035,35,JOB-035,2026-08-07,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-036,36,JOB-036,2026-08-08,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-037,37,JOB-037,2026-08-09,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-038,38,JOB-038,2026-08-10,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-039,39,JOB-039,2026-08-11,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-040,40,JOB-040,2026-08-12,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-041,41,JOB-041,2026-08-13,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-042,42,JOB-042,2026-08-14,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-043,43,JOB-043,2026-08-15,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-044,44,JOB-044,2026-08-16,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-045,45,JOB-045,2026-08-17,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-046,46,JOB-046,2026-08-18,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-047,47,JOB-047,2026-08-19,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-048,48,JOB-048,2026-08-20,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-049,49,JOB-049,2026-08-21,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-050,50,JOB-050,2026-08-22,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
Synthetic demonstration data,INV-001,2026-09-01,2026-08-01,2026-08-31,CTR-001,LINE-051,51,JOB-051,2026-08-23,standard_maintenance,1,5000,5000,GBP,exclusive_of_vat
